Transaction ID,Customer ID,Transaction Amount,Transaction Type,Transaction Date,Merchant ID,Transaction Location,Fraud Flag
TXN00001,CUST001,6792.01,ATM,2023-01-01,MER0001,Los Angeles,0
TXN00002,CUST002,2723.21,Online,2023-01-02,MER0002,New York,0
TXN00003,CUST003,7097.81,ATM,2023-01-03,MER0003,New York,0
TXN00004,CUST004,1015.66,POS,2023-01-04,MER0004,Phoenix,0
TXN00005,CUST005,6516.23,POS,2023-01-05,MER0005,Los Angeles,0
TXN00006,CUST006,8710.13,Online,2023-01-06,MER0006,Los Angeles,0
TXN00007,CUST007,370.23,Online,2023-01-07,MER0007,Houston,0
TXN00008,CUST008,9292.32,Online,2023-01-08,MER0008,Phoenix,0
TXN00009,CUST009,3695.47,POS,2023-01-09,MER0009,Chicago,0
TXN00010,CUST010,5124.82,Online,2023-01-10,MER0010,Phoenix,0
TXN00011,CUST011,2555.03,POS,2023-01-11,MER0011,Phoenix,0
TXN00012,CUST012,9286.17,POS,2023-01-12,MER0012,Los Angeles,1
TXN00013,CUST013,689.54,ATM,2023-01-13,MER0013,New York,0
TXN00014,CUST014,5111.37,Online,2023-01-14,MER0014,Los Angeles,0
TXN00015,CUST015,5311.2,POS,2023-01-15,MER0015,New York,0
TXN00016,CUST016,663.19,ATM,2023-01-16,MER0016,Phoenix,0
TXN00017,CUST017,7898.79,ATM,2023-01-17,MER0017,Chicago,0
TXN00018,CUST018,1334.98,POS,2023-01-18,MER0018,Phoenix,0
TXN00019,CUST019,779.61,Online,2023-01-19,MER0019,Houston,0
TXN00020,CUST020,5715.81,POS,2023-01-20,MER0020,Chicago,0
TXN00021,CUST021,4297.61,Online,2023-01-21,MER0021,Chicago,0
TXN00022,CUST022,2513.08,Online,2023-01-22,MER0022,Los Angeles,0
TXN00023,CUST023,5135.47,Online,2023-01-23,MER0023,Chicago,0
TXN00024,CUST024,6937.32,Online,2023-01-24,MER0024,New York,0
TXN00025,CUST025,4939.22,POS,2023-01-25,MER0025,Phoenix,0
TXN00026,CUST026,8198.58,POS,2023-01-26,MER0026,Houston,0
TXN00027,CUST027,6639.75,Online,2023-01-27,MER0027,Phoenix,0
TXN00028,CUST028,6529.11,ATM,2023-01-28,MER0028,Chicago,1
TXN00029,CUST029,5791.18,POS,2023-01-29,MER0029,Chicago,0
TXN00030,CUST030,5137.72,ATM,2023-01-30,MER0030,Phoenix,0
TXN00031,CUST031,419.25,Online,2023-01-31,MER0031,Chicago,0
TXN00032,CUST032,1264.7,POS,2023-02-01,MER0032,Los Angeles,0
TXN00033,CUST033,1034.47,POS,2023-02-02,MER0033,Phoenix,0
TXN00034,CUST034,4437.46,POS,2023-02-03,MER0034,Los Angeles,0
TXN00035,CUST035,8875.67,ATM,2023-02-04,MER0035,Houston,0
TXN00036,CUST036,2823.93,POS,2023-02-05,MER0036,Chicago,0
TXN00037,CUST037,7445.97,POS,2023-02-06,MER0037,Chicago,0
TXN00038,CUST038,6223.0,POS,2023-02-07,MER0038,Phoenix,0
TXN00039,CUST039,4851.96,Online,2023-02-08,MER0039,Houston,0
TXN00040,CUST040,4423.7,POS,2023-02-09,MER0040,Houston,0
TXN00041,CUST041,5556.32,POS,2023-02-10,MER0041,Chicago,0
TXN00042,CUST042,947.27,POS,2023-02-11,MER0042,Houston,0
TXN00043,CUST043,4972.5,ATM,2023-02-12,MER0043,New York,0
TXN00044,CUST044,2010.21,POS,2023-02-13,MER0044,Houston,0
TXN00045,CUST045,1957.62,Online,2023-02-14,MER0045,Houston,0
TXN00046,CUST046,9611.99,Online,2023-02-15,MER0046,Houston,0
TXN00047,CUST047,9179.62,POS,2023-02-16,MER0047,Phoenix,0
TXN00048,CUST048,4147.84,Online,2023-02-17,MER0048,New York,0
TXN00049,CUST049,6556.28,POS,2023-02-18,MER0049,Phoenix,1
TXN00050,CUST050,8934.1,POS,2023-02-19,MER0050,Phoenix,0
TXN00051,CUST051,7823.53,Online,2023-02-20,MER0051,Houston,0
TXN00052,CUST052,8561.78,ATM,2023-02-21,MER0052,Phoenix,0
TXN00053,CUST053,5276.51,POS,2023-02-22,MER0053,Phoenix,0
TXN00054,CUST054,6335.4,ATM,2023-02-23,MER0054,New York,0
TXN00055,CUST055,9172.09,ATM,2023-02-24,MER0055,Phoenix,0
TXN00056,CUST056,8121.4,ATM,2023-02-25,MER0056,New York,0
TXN00057,CUST057,7497.68,ATM,2023-02-26,MER0057,New York,0
TXN00058,CUST058,8030.9,POS,2023-02-27,MER0058,Houston,0
TXN00059,CUST059,8750.95,ATM,2023-02-28,MER0059,Houston,0
TXN00060,CUST060,2051.21,ATM,2023-03-01,MER0060,Los Angeles,0
TXN00061,CUST061,7136.69,ATM,2023-03-02,MER0061,Chicago,0
TXN00062,CUST062,4718.12,POS,2023-03-03,MER0062,Houston,0
TXN00063,CUST063,9848.37,POS,2023-03-04,MER0063,Houston,0
TXN00064,CUST064,6895.95,POS,2023-03-05,MER0064,Chicago,0
TXN00065,CUST065,2025.49,POS,2023-03-06,MER0065,Phoenix,0
TXN00066,CUST066,7053.89,ATM,2023-03-07,MER0066,Phoenix,0
TXN00067,CUST067,4357.17,POS,2023-03-08,MER0067,Phoenix,0
TXN00068,CUST068,8657.0,POS,2023-03-09,MER0068,Los Angeles,0
TXN00069,CUST069,4078.97,ATM,2023-03-10,MER0069,Los Angeles,0
TXN00070,CUST070,5738.23,POS,2023-03-11,MER0070,New York,0
TXN00071,CUST071,3532.05,Online,2023-03-12,MER0071,New York,0
TXN00072,CUST072,2136.28,Online,2023-03-13,MER0072,Houston,0
TXN00073,CUST073,5205.88,ATM,2023-03-14,MER0073,New York,0
TXN00074,CUST074,7719.81,Online,2023-03-15,MER0074,Phoenix,0
TXN00075,CUST075,8383.43,ATM,2023-03-16,MER0075,Los Angeles,0
TXN00076,CUST076,8764.03,Online,2023-03-17,MER0076,New York,0
TXN00077,CUST077,1614.87,POS,2023-03-18,MER0077,Los Angeles,0
TXN00078,CUST078,7799.76,POS,2023-03-19,MER0078,Los Angeles,0
TXN00079,CUST079,3268.17,Online,2023-03-20,MER0079,Phoenix,1
TXN00080,CUST080,991.81,POS,2023-03-21,MER0080,New York,0
TXN00081,CUST081,4081.76,Online,2023-03-22,MER0081,Phoenix,0
TXN00082,CUST082,6267.19,POS,2023-03-23,MER0082,Houston,0
TXN00083,CUST083,7951.28,Online,2023-03-24,MER0083,Chicago,0
TXN00084,CUST084,423.06,ATM,2023-03-25,MER0084,Houston,0
TXN00085,CUST085,4949.58,POS,2023-03-26,MER0085,Los Angeles,0
TXN00086,CUST086,5807.23,ATM,2023-03-27,MER0086,Chicago,0
TXN00087,CUST087,9370.77,ATM,2023-03-28,MER0087,Houston,0
TXN00088,CUST088,5655.37,Online,2023-03-29,MER0088,Chicago,0
TXN00089,CUST089,1385.32,POS,2023-03-30,MER0089,Los Angeles,0
TXN00090,CUST090,3626.32,Online,2023-03-31,MER0090,Chicago,0
TXN00091,CUST091,6095.07,Online,2023-04-01,MER0091,New York,0
TXN00092,CUST092,441.45,POS,2023-04-02,MER0092,Phoenix,0
TXN00093,CUST093,3858.94,POS,2023-04-03,MER0093,New York,0
TXN00094,CUST094,5809.25,Online,2023-04-04,MER0094,Houston,0
TXN00095,CUST095,5925.9,ATM,2023-04-05,MER0095,Phoenix,0
TXN00096,CUST096,7565.2,ATM,2023-04-06,MER0096,New York,0
TXN00097,CUST097,6025.36,POS,2023-04-07,MER0097,Los Angeles,0
TXN00098,CUST098,5365.76,POS,2023-04-08,MER0098,Chicago,0
TXN00099,CUST099,1856.52,POS,2023-04-09,MER0099,Chicago,0
TXN00100,CUST100,3372.03,POS,2023-04-10,MER0100,Phoenix,0
